slug,title,mtime,n_annotations,n_formalized,n_partial,n_not_formalized,formalization_rate,coverage_rate,n_definition,n_proposition,n_theorem,n_example,n_distinct_modules
Taylor_series,Taylor_series,2026-05-22T03:02:58+00:00,80,4,4,72,0.05,0.1,0,0,0,0,2
Trigonometric_functions,Trigonometric_functions,2026-05-22T03:02:58+00:00,74,0,3,71,0.0,0.041,0,0,0,0,1
Variance,Variance,2026-05-22T03:02:58+00:00,72,4,12,56,0.056,0.222,0,0,0,0,1
Vector_space,Vector_space,2026-05-22T03:02:58+00:00,38,1,1,36,0.026,0.053,0,0,0,0,2
Adjoint_functors,Adjoint_functors,2026-05-22T03:03:08+00:00,38,11,11,16,0.289,0.579,0,0,0,0,1
Law_of_cosines,Law_of_cosines,2026-05-22T03:03:08+00:00,51,13,6,32,0.255,0.373,0,0,0,0,1
Pythagorean_theorem,Pythagorean_theorem,2026-05-22T03:03:08+00:00,68,7,6,55,0.103,0.191,0,0,0,0,3
Quadratic_equation,Quadratic_equation,2026-05-22T03:03:08+00:00,57,7,11,39,0.123,0.316,0,0,0,0,1
0,0,2026-05-29T01:15:04+00:00,35,21,11,3,0.6,0.914,13,21,0,1,20
1,1,2026-05-29T01:15:04+00:00,20,10,5,5,0.5,0.75,13,4,2,1,10
2,2,2026-05-29T01:15:05+00:00,14,7,2,5,0.5,0.643,6,8,0,0,8
4,4,2026-05-29T01:15:05+00:00,17,2,4,11,0.118,0.353,4,10,2,1,5
5,5,2026-05-29T01:15:05+00:00,30,0,6,24,0.0,0.2,4,20,6,0,5
Abacus,Abacus,2026-05-29T01:15:05+00:00,20,0,7,13,0.0,0.35,9,4,0,7,2
Abelian_group,Abelian group,2026-05-29T01:15:05+00:00,59,38,4,17,0.644,0.712,13,25,12,9,26
